symbol,name,sector,source_etfs
CENTA,CENTRAL GARDEN AND PET CLASS A,Consumer Staples,IJR
NWL,NEWELL BRANDS INC,Consumer Discretionary,IJR
WOR,WORTHINGTON ENTERPRISES INC,Industrials,IJR
GTM,ZOOMINFO TECHNOLOGIES INC,Communication,IJR
BKE,BUCKLE INC,Consumer Discretionary,IJR
NSSC,NAPCO SECURITY TECHNOLOGIES INC,Information Technology,IJR
IPAR,INTERPARFUMS INC,Consumer Staples,IJR
AIN,ALBANY INTERNATIONAL CORP CLASS A,Industrials,IJR
CTS,CTS CORP,Information Technology,IJR
EFC,ELLINGTON FINANCIAL INC,Financials,IJR
HCI,HCI GROUP INC,Financials,IJR
WLY,JOHN WILEY AND SONS INC CLASS A,Communication,IJR
ADNT,ADIENT PLC,Consumer Discretionary,IJR
STBA,S AND T BANCORP INC,Financials,IJR
AGYS,AGILYSYS INC,Information Technology,IJR
INVA,INNOVIVA INC,Health Care,IJR
PRGO,PERRIGO PLC,Health Care,IJR
TILE,INTERFACE INC,Industrials,IJR
YELP,YELP INC,Communication,IJR
